ID,BEGIN_TIME,END_TIME,MONDAY_IND,TUESDAY_IND,WEDNESDAY_IND,THURSDAY_IND,FRIDAY_IND,SATURDAY_IND,SUNDAY_IND
1,935,1040,M,,W,,F,,
1,1335,1440,M,,W,,F,,
1,1055,1200,M,,W,,F,S,
1,1730,1915,,,,R,,,
1,1330,1510,,T,,R,,,
2,1800,2115,M,,,,,,
2,1800,2115,M,,,,,,
2,1800,2115,M,,,,,,
2,1800,2100,,,W,,,,
2,1800,2115,M,,,,,,
2,1800,2115,M,,,,,,
2,1800,2100,,,W,,,,
2,1800,2115,M,,,,,,
2,1800,2115,M,,,,,,
2,1800,2115,M,,,,,,
2,1800,2115,M,,,,,,
2,1800,2100,,,W,,,,
2,,,,,,,,,
2,1800,2115,M,,,,,,
2,1800,2115,M,,,,,,
2,1800,2100,,,W,,,,
2,1800,2100,,,W,,,,
2,1800,2115,M,,,,,,
2,,,,,,,,,
2,1800,2100,,,W,,,,
2,1800,2100,,,W,,,,
2,1800,2115,M,,,,,,
2,1800,2100,,,W,,,,
3,1800,2100,,,W,,,,
3,1800,2100,,,W,,,,
3,1800,2100,,,W,,,,
3,1800,2100,,,W,,,,
3,,,,,,,,,
3,1800,2115,M,,,,,,
3,1800,2100,,,W,,,,
4,1215,1320,M,,W,,F,,
4,955,1135,,T,,R,,,
4,1335,1510,M,,W,,,,
4,1730,2115,M,,,,,,
5,1730,2115,M,,,,,,
5,,,,,,,,,
5,1335,1510,M,,W,,,,
6,935,1040,M,,W,,F,,
6,1055,1200,M,,W,,,,
6,,,,,,,,,
6,,,,,,,,,
6,800,940,,T,,R,,,
6,1335,1510,M,,W,,,,
6,955,1135,,T,,,,,
7,1330,1510,,T,,R,,,
7,935,1040,M,,W,,F,,
7,1055,1200,M,,W,,F,,
7,955,1135,,T,,R,,,
7,1930,2115,,T,,,,,
8,1055,1200,M,,W,,,,
8,,,,,,,,,
8,1055,1200,M,,W,,F,,
8,955,1135,,T,,R,,,
8,1330,1510,,T,,R,,,
8,935,1040,M,,W,,F,,
9,1930,2115,,T,,,,,
9,935,1040,M,,W,,F,,
9,1055,1200,,,,,F,,
9,955,1135,,T,,R,,,
9,1055,1200,M,,W,,,,
9,1055,1200,M,,W,,F,,
9,1215,1320,M,,W,,F,,
10,800,940,,,,R,,,
10,800,940,,T,,,,,
10,935,1040,M,,W,,F,,
10,1330,1435,,,,R,,,
10,1215,1320,M,,W,,F,,
10,,,,,,,,,
10,955,1135,,T,,R,,,
11,1330,1510,,T,,R,,,
11,1055,1200,M,,,,,,
11,,,,,,,,,
11,1215,1320,M,,W,,F,,
11,1335,1510,M,,W,,,,
11,800,940,,T,,R,,,
11,1335,1510,M,,W,,,,
12,1330,1435,,,,R,,,
12,,,,,,,,,
12,1330,1630,,T,,,,,
12,1050,1135,,T,,R,,,
12,1215,1320,M,,W,,F,,
12,1055,1200,M,,W,,F,,
12,800,940,,T,,R,,,
12,,,,,,,,,
13,800,940,,T,,R,,,
13,,,,,,,,,
13,1055,1200,M,,,,,,
13,1335,1510,M,,W,,,,
13,1335,1510,M,,W,,,,
13,955,1135,,T,,R,,,
13,1215,1320,M,,W,,F,,
14,1000,1200,,T,,,,,
14,1215,1320,M,,W,,F,,
14,1055,1200,M,,W,,F,,
14,935,1040,M,,W,,F,,
14,800,940,,T,,R,,,
